epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6439,1.54752,3.07901,1.65787,0.00841,0.69481,0.16202,0.07421,1.67198,3.34151,1.79276,0.00010002,0.00010002,0.00010002
2,64.3482,1.37099,2.84155,1.53508,0.00922,0.76623,0.26669,0.15844,1.58509,3.27343,1.77438,0.000212419,0.000212419,0.000212419
3,92.6209,1.38811,2.42226,1.54205,0.00859,0.70108,0.26175,0.13912,1.74418,3.17582,1.95772,0.000320197,0.000320197,0.000320197
4,120.174,1.44194,2.14705,1.59382,1,0.01807,0.26616,0.13201,1.78879,3.11125,1.98828,0.000423355,0.000423355,0.000423355
5,147.523,1.39896,2.01032,1.57789,0.58997,0.21472,0.17693,0.08075,1.85665,2.94594,2.08674,0.000521891,0.000521891,0.000521891
6,174.951,1.40474,1.95046,1.55736,0.71862,0.20909,0.31414,0.14111,1.85565,2.84383,2.07137,0.000615806,0.000615806,0.000615806
7,202.993,1.37759,1.83029,1.56373,0.58905,0.2119,0.20443,0.09967,1.95798,4.00698,2.13283,0.000705101,0.000705101,0.000705101
8,230.524,1.46335,1.82954,1.58202,0.65621,0.29671,0.24395,0.10035,1.97294,4.32566,2.05389,0.000789775,0.000789775,0.000789775
9,259.59,1.33177,1.8094,1.53565,0.75638,0.20909,0.31147,0.15568,1.79918,3.87771,1.94808,0.000869827,0.000869827,0.000869827
10,286.996,1.41957,1.71102,1.53427,0.65617,0.31758,0.36527,0.15984,1.97225,3.51252,2.04212,0.000945259,0.000945259,0.000945259
11,314.456,1.35326,1.62554,1.51284,0.56122,0.27143,0.28896,0.12855,2.06003,2.81635,2.15623,0.00101607,0.00101607,0.00101607
12,343.503,1.33804,1.65088,1.50942,0.49522,0.24697,0.26662,0.10696,2.13268,2.93862,2.10195,0.00108226,0.00108226,0.00108226
13,370.954,1.36388,1.60071,1.49367,0.51613,0.24069,0.26863,0.09539,2.25391,2.90672,2.2652,0.00114383,0.00114383,0.00114383
